Date,Content
2022-04-05 23:32:05+00:00,"b'@MythiaVTuber Adek nya siapa tuh, boleh diculik gk'"
2022-04-05 23:03:46+00:00,b'@SIR_staff5 @MythiaVTuber Kapan nih bang andi keliatan udelnya?\xf0\x9f\x98\xa9'
2022-04-05 21:39:38+00:00,b'@kohaku6672 @MythiaVTuber genderfluid... daripada pusing gak usah dipikirin wkwkwk'
2022-04-05 21:35:16+00:00,b'@LunarScarlet1 @MythiaVTuber Dan juga saya bingung xeapher itu gender nya apa wkwkwkw'
2022-04-05 20:32:38+00:00,b'@MythiaVTuber potret saat di gym'
2022-04-05 20:26:54+00:00,"b'Otsu Miti! Makasih udh nemenin saat sahur, jangan lupa jaga kesehatan ya Mit! Tadi juga ketawa bareng karena jokes\xe2\x80\xa6 https://t.co/jEGH3gpL3P'"
2022-04-05 19:31:52+00:00,"b'Duluan ya tayangg, mangaat streamnyaaa huhuhuuu \xf0\x9f\xa5\xba\xf0\x9f\x92\x96 @MythiaVTuber #MythiALive https://t.co/Stx9GvQGIU'"
2022-04-05 18:46:58+00:00,b'Ketika miti @MythiaVTuber di Gundam Seed &amp; Seed Destiny. Tinggal menunggu versi Keigo Epel Andi dan Chloe dan yg la\xe2\x80\xa6 https://t.co/xlhoXEscas'
2022-04-05 18:42:28+00:00,"b'@kohaku6672 @MythiaVTuber setau ku, ""mama"" untuk sebagai desainer atau ilustrator dan ""papa"" untuk sebutan rigger L\xe2\x80\xa6 https://t.co/V3dO5bji3A'"
2022-04-05 18:31:06+00:00,"b'@MythiaVTuber @LunarScarlet1 Wait, andi manggil mama xea miti manggil papa xea jadi mana yg bener'"
2022-04-05 18:08:49+00:00,b'@Bimayamato992 @MythiaVTuber segan \xf0\x9f\x94\xa5'
2022-04-05 17:51:14+00:00,"b'@MythiaVTuber Aseekk, bisa ikut sebentar doang.'"
2022-04-05 17:45:39+00:00,b'@MythiaVTuber Sahur apa kita mitt...mau aku beliin?\xf0\x9f\x91\x80'
2022-04-05 17:40:18+00:00,"b'@MythiaVTuber yoo,walaupun saya gapuasa tetep nonton aja lah,semangat gaes yang puasa \xf0\x9f\x98\x8e'"
2022-04-05 17:40:16+00:00,b'@MythiaVTuber Sahur bareng ikujoooo'
2022-04-05 16:20:22+00:00,b'@MythiaVTuber Gini amat ngontrak di bumi'
2022-04-05 15:54:22+00:00,b'@Bimayamato992 @MythiaVTuber Beren banget\xf0\x9f\x98\xad'
2022-04-05 15:10:35+00:00,"b'@MythiaVTuber sama sama ketec gang, tapi andi blom udel gang \xf0\x9f\x98\x85'"
2022-04-05 14:56:15+00:00,b'@Bimayamato992 @MythiaVTuber Hemm gundam seed ya.. \nStory ny drama percintaan ribet berkedok mecha beda sama seri gundam yg lain :v'
2022-04-05 14:35:07+00:00,b'@MythiaVTuber @ennocrush Sainganmu banyak Mit.\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
2022-04-05 14:31:00+00:00,"b'@MythiaVTuber Sainganmu nambah, Mit.'"
2022-04-05 14:24:30+00:00,b'@MythiaVTuber freetalk breng andi gass gk sih:D'
2022-04-05 14:08:00+00:00,b'@MythiaVTuber Akur bgt siii... Betumbuk lah&lt;3'
2022-04-05 13:57:44+00:00,b'@MythiaVTuber makasih ueueeee \xf0\x9f\xa5\xba\xf0\x9f\xa5\xba'
2022-04-05 13:54:08+00:00,"b'@MythiaVTuber Ntaps, sebelahan'"
2022-04-05 13:44:04+00:00,"b'@MythiaVTuber Abang ya mit yaa... Abang loh, ga boleh naksir awokwik'"
2022-04-05 13:41:48+00:00,"b'@MythiaVTuber Kaktus ""kakak adik tanpa status"" hiyahiyahiya.... Maaf aku becanda jgn dihiraukan\xf0\x9f\x99\x8f'"
2022-04-05 13:29:27+00:00,"b'@MythiaVTuber ""abang""'"
2022-04-05 13:04:53+00:00,b'@MythiaVTuber Bang Ryan ketika melihat ini: selamat ya buat para vtuber termasuk kamu ya miti\n\nDalam hatinya: aduuu\xe2\x80\xa6 https://t.co/xoJEJhITPw'
2022-04-05 12:56:21+00:00,b'@MythiaVTuber Yah jdinya gk \xf0\x9f\x91\x89\xf0\x9f\x8f\xbb\xf0\x9f\x91\x88\xf0\x9f\x8f\xbc donk hehehe \xf0\x9f\xa4\xad\xf0\x9f\x98\x81'
2022-04-05 12:53:56+00:00,b'@MythiaVTuber Andi adalah cowok cantik\xf0\x9f\x91\x80'
2022-04-05 12:52:56+00:00,"b'@MythiaVTuber Kalian berdua, cakep bet awawawa huweee'"
2022-04-05 12:45:46+00:00,b'@MythiaVTuber Andi punya 2 adik nih ceritanya?'
